weighted directed
1 2 71
1 3 46
1 4 18
1 5 55
2 6 41
2 7 66
2 8 99
2 9 23
3 10 15
3 11 95
3 12 64
3 13 36
4 14 65
4 15 93
4 16 16
4 17 45
5 18 74
5 19 86
5 20 94
5 21 27
6 22 77
6 23 94
6 24 97
6 25 44
7 26 23
7 27 32
7 28 58
7 29 34
8 30 97
8 31 22
8 32 63
8 33 1
9 34 25
9 35 32
9 36 2
9 37 59
10 38 56
10 39 73
10 40 41
10 41 22
11 42 37
11 43 44
11 44 58
11 45 9
12 46 54
12 47 49
12 48 74
12 49 90
13 50 79
13 51 70
13 52 32
13 53 23
14 54 25
14 55 84
14 56 86
14 57 39
15 58 27
15 59 15
15 60 70
15 61 63
16 62 39
16 63 6
16 64 17
16 65 55
17 66 1
17 67 20
17 68 87
17 69 72
18 70 45
18 71 42
18 72 12
18 73 11
19 74 44
19 75 69
19 76 8
19 77 1
20 78 46
20 79 56
20 80 100
20 81 95
21 82 12
21 83 38
21 84 40
21 85 76
22 86 61
22 87 39
22 88 74
22 89 47
23 90 10
23 91 88
23 92 44
23 93 99
24 94 77
24 95 9
24 96 61
24 97 88
25 98 6
25 99 3
25 100 41
25 101 22
26 102 89
26 103 57
26 104 86
26 105 28
27 106 76
27 107 81
27 108 49
27 109 24
28 110 30
28 111 11
28 112 74
28 113 48
29 114 17
29 115 28
29 116 47
29 117 54
30 118 39
30 119 57
30 120 25
30 121 27
31 122 7
31 123 36
31 124 97
31 125 12
32 126 44
32 127 35
32 128 55
32 129 94
33 130 36
33 131 68
33 132 15
33 133 26
34 134 97
34 135 75
34 136 92
34 137 78
35 138 19
35 139 22
35 140 31
35 141 64
36 142 43
36 143 11
36 144 78
36 145 30
37 146 25
37 147 19
37 148 58
37 149 17
38 150 15
38 151 64
38 152 7
38 153 91
39 154 48
39 155 81
39 156 55
39 157 48
40 158 11
40 159 48
40 160 31
40 161 94
41 162 79
41 163 70
41 164 12
41 165 36
42 166 43
42 167 26
42 168 49
42 169 95
43 170 12
43 171 83
43 172 55
43 173 63
44 174 67
44 175 48
44 176 0
44 177 22
45 178 27
45 179 84
45 180 4
45 181 29
46 182 44
46 183 98
46 184 46
46 185 63
47 186 96
47 187 15
47 188 76
47 189 10
48 190 40
48 191 98
48 192 42
48 193 54
49 194 70
49 195 34
49 196 83
49 197 60
50 198 18
50 199 30
50 200 7
50 201 98
51 202 37
51 203 23
51 204 15
51 205 92
52 206 59
52 207 71
52 208 95
52 209 88
53 210 100
53 211 3
53 212 88
53 213 71
54 214 73
54 215 71
54 216 19
54 217 40
55 218 61
55 219 38
55 220 46
55 221 82
56 222 29
56 223 96
56 224 85
56 225 83
57 226 81
57 227 95
57 228 29
57 229 39
58 230 86
58 231 92
58 232 14
58 233 49
59 234 20
59 235 47
59 236 37
59 237 62
60 238 27
60 239 81
60 240 95
60 241 17
61 242 96
61 243 96
61 244 46
61 245 86
62 246 18
62 247 29
62 248 84
62 249 65
63 250 69
63 251 38
63 252 64
63 253 82
64 254 98
64 255 8
64 256 87
64 257 60
65 258 93
65 259 2
65 260 64
65 261 85
66 262 6
66 263 2
66 264 34
66 265 57
67 266 13
67 267 92
67 268 28
67 269 90
68 270 42
68 271 62
68 272 74
68 273 83
69 274 69
69 275 29
69 276 57
69 277 16
70 278 43
70 279 14
70 280 68
70 281 50
71 282 34
71 283 91
71 284 4
71 285 81
72 286 41
72 287 90
72 288 51
72 289 49
73 290 48
73 291 22
73 292 100
73 293 1
74 294 4
74 295 60
74 296 15
74 297 15
75 298 21
75 299 99
75 300 17
75 301 78
76 302 52
76 303 94
76 304 28
76 305 72
77 306 30
77 307 82
77 308 45
77 309 53
78 310 0
78 311 33
78 312 29
78 313 57
79 314 9
79 315 20
79 316 86
79 317 82
80 318 100
80 319 87
80 320 73
80 321 72
81 322 0
81 323 68
81 324 11
81 325 26
82 326 47
82 327 87
82 328 44
82 329 78
83 330 63
83 331 75
83 332 79
83 333 63
84 334 40
84 335 71
84 336 69
84 337 39
85 338 56
85 339 68
85 340 63
85 341 12
86 342 33
86 343 14
86 344 46
86 345 11
87 346 60
87 347 13
87 348 27
87 349 43
88 350 52
88 351 70
88 352 2
88 353 63
89 354 65
89 355 4
89 356 14
89 357 16
90 358 85
90 359 45
90 360 36
90 361 65
91 362 80
91 363 18
91 364 19
91 365 48
92 366 51
92 367 53
92 368 52
92 369 75
93 370 54
93 371 30
93 372 0
93 373 81
94 374 92
94 375 27
94 376 93
94 377 68
95 378 60
95 379 30
95 380 53
95 381 7
96 382 70
96 383 19
96 384 77
96 385 55
97 386 51
97 387 14
97 388 68
97 389 64
98 390 0
98 391 22
98 392 19
98 393 86
99 394 91
99 395 17
99 396 8
99 397 5
100 398 22
100 399 85
100 400 69
100 401 96
101 402 80
101 403 73
101 404 52
101 405 45
102 406 72
102 407 64
102 408 3
102 409 12
103 410 70
103 411 75
103 412 39
103 413 10
104 414 58
104 415 14
104 416 53
104 417 85
105 418 76
105 419 86
105 420 93
105 421 90
106 422 51
106 423 94
106 424 48
106 425 31
107 426 8
107 427 82
107 428 22
107 429 37
108 430 26
108 431 5
108 432 66
108 433 4
109 434 44
109 435 89
109 436 86
109 437 40
110 438 29
110 439 78
110 440 68
110 441 73
111 442 76
111 443 15
111 444 26
111 445 76
112 446 47
112 447 82
112 448 67
112 449 83
113 450 83
113 451 68
113 452 92
113 453 29
114 454 59
114 455 39
114 456 64
114 457 22
115 458 48
115 459 37
115 460 15
115 461 53
116 462 30
116 463 74
116 464 94
116 465 75
117 466 36
117 467 37
117 468 9
117 469 74
118 470 93
118 471 91
118 472 87
118 473 12
119 474 74
119 475 38
119 476 95
119 477 50
120 478 52
120 479 52
120 480 62
120 481 38
121 482 23
121 483 18
121 484 49
121 485 99
122 486 24
122 487 19
122 488 54
122 489 97
123 490 45
123 491 83
123 492 66
123 493 31
124 494 58
124 495 65
124 496 88
124 497 66
125 498 87
125 499 5
125 500 57
125 501 66
126 502 60
126 503 29
126 504 4
126 505 18
127 506 64
127 507 100
127 508 56
127 509 73
128 510 36
128 511 84
128 512 52
128 513 81
129 514 83
129 515 67
129 516 35
129 517 55
130 518 22
130 519 99
130 520 66
130 521 24
131 522 15
131 523 25
131 524 36
131 525 48
132 526 65
132 527 19
132 528 78
132 529 28
133 530 60
133 531 22
133 532 12
133 533 24
134 534 95
134 535 34
134 536 70
134 537 88
135 538 54
135 539 96
135 540 27
135 541 7
136 542 16
136 543 47
136 544 23
136 545 80
137 546 49
137 547 37
137 548 11
137 549 97
138 550 53
138 551 62
138 552 53
138 553 97
139 554 99
139 555 17
139 556 12
139 557 24
140 558 30
140 559 33
140 560 49
140 561 28
141 562 43
141 563 0
141 564 85
141 565 55
142 566 58
142 567 62
142 568 65
142 569 93
143 570 21
143 571 62
143 572 33
143 573 78
144 574 15
144 575 89
144 576 89
144 577 43
145 578 75
145 579 76
145 580 18
145 581 55
146 582 62
146 583 61
146 584 42
146 585 94
147 586 25
147 587 45
147 588 0
147 589 45
148 590 7
148 591 35
148 592 90
148 593 68
149 594 14
149 595 6
149 596 49
149 597 44
150 598 67
150 599 95
150 600 80
150 601 33
151 602 81
151 603 22
151 604 97
151 605 45
152 606 69
152 607 57
152 608 89
152 609 56
153 610 25
153 611 99
153 612 99
153 613 54
154 614 55
154 615 35
154 616 34
154 617 54
155 618 54
155 619 88
155 620 58
155 621 86
156 622 58
156 623 73
156 624 48
156 625 4
157 626 72
157 627 47
157 628 41
157 629 88
158 630 36
158 631 73
158 632 82
158 633 80
159 634 18
159 635 82
159 636 96
159 637 35
160 638 91
160 639 77
160 640 35
160 641 6
161 642 39
161 643 10
161 644 71
161 645 96
162 646 54
162 647 84
162 648 8
162 649 60
163 650 61
163 651 14
163 652 5
163 653 61
164 654 63
164 655 16
164 656 50
164 657 23
165 658 92
165 659 84
165 660 40
165 661 87
166 662 84
166 663 33
166 664 11
166 665 2
167 666 30
167 667 19
167 668 81
167 669 3
168 670 58
168 671 66
168 672 35
168 673 38
169 674 54
169 675 20
169 676 93
169 677 27
170 678 35
170 679 91
170 680 82
170 681 21
171 682 92
171 683 52
171 684 46
171 685 88
172 686 10
172 687 45
172 688 88
172 689 42
173 690 17
173 691 12
173 692 43
173 693 73
174 694 75
174 695 67
174 696 26
174 697 85
175 698 16
175 699 52
175 700 70
175 701 74
176 702 58
176 703 71
176 704 58
176 705 70
177 706 23
177 707 47
177 708 62
177 709 11
178 710 75
178 711 36
178 712 16
178 713 76
179 714 26
179 715 87
179 716 60
179 717 8
180 718 94
180 719 93
180 720 96
180 721 9
181 722 99
181 723 73
181 724 7
181 725 2
182 726 19
182 727 64
182 728 90
182 729 47
183 730 26
183 731 64
183 732 100
183 733 58
184 734 13
184 735 91
184 736 90
184 737 59
185 738 47
185 739 97
185 740 74
185 741 51
186 742 51
186 743 74
186 744 65
186 745 49
187 746 38
187 747 75
187 748 58
187 749 7
188 750 79
188 751 8
188 752 22
188 753 32
189 754 17
189 755 5
189 756 9
189 757 85
190 758 63
190 759 50
190 760 9
190 761 24
191 762 13
191 763 87
191 764 92
191 765 60
192 766 98
192 767 14
192 768 49
192 769 99
193 770 31
193 771 24
193 772 72
193 773 50
194 774 9
194 775 37
194 776 45
194 777 16
195 778 50
195 779 80
195 780 28
195 781 41
196 782 84
196 783 23
196 784 23
196 785 64
197 786 31
197 787 23
197 788 64
197 789 52
198 790 32
198 791 48
198 792 93
198 793 67
199 794 38
199 795 13
199 796 22
199 797 46
200 798 48
200 799 14
200 800 98
200 801 47
201 802 21
201 803 12
201 804 92
201 805 72
202 806 63
202 807 58
202 808 2
202 809 76
203 810 17
203 811 49
203 812 98
203 813 99
204 814 0
204 815 86
204 816 63
204 817 81
205 818 14
205 819 71
205 820 70
205 821 57
206 822 37
206 823 95
206 824 65
206 825 80
207 826 86
207 827 33
207 828 4
207 829 55
208 830 69
208 831 24
208 832 4
208 833 2
209 834 80
209 835 16
209 836 64
209 837 43
210 838 71
210 839 3
210 840 35
210 841 64
211 842 20
211 843 27
211 844 97
211 845 2
212 846 65
212 847 79
212 848 97
212 849 42
213 850 25
213 851 19
213 852 62
213 853 89
214 854 96
214 855 100
214 856 40
214 857 96
215 858 46
215 859 81
215 860 14
215 861 28
216 862 15
216 863 18
216 864 18
216 865 12
217 866 59
217 867 0
217 868 80
217 869 100
218 870 2
218 871 40
218 872 67
218 873 13
219 874 52
219 875 95
219 876 94
219 877 9
220 878 77
220 879 81
220 880 26
220 881 27
221 882 63
221 883 54
221 884 49
221 885 49
222 886 14
222 887 100
222 888 98
222 889 11
223 890 93
223 891 1
223 892 5
223 893 73
224 894 34
224 895 48
224 896 40
224 897 70
225 898 81
225 899 13
225 900 45
225 901 25
226 902 41
226 903 72
226 904 7
226 905 53
227 906 94
227 907 29
227 908 51
227 909 68
228 910 7
228 911 60
228 912 87
228 913 30
229 914 39
229 915 54
229 916 90
229 917 18
230 918 56
230 919 7
230 920 10
230 921 16
231 922 36
231 923 9
231 924 28
231 925 10
232 926 89
232 927 10
232 928 32
232 929 94
233 930 42
233 931 22
233 932 0
233 933 76
234 934 59
234 935 85
234 936 93
234 937 75
235 938 100
235 939 26
235 940 8
235 941 43
236 942 3
236 943 73
236 944 69
236 945 74
237 946 80
237 947 57
237 948 50
237 949 66
238 950 26
238 951 97
238 952 88
238 953 29
239 954 60
239 955 88
239 956 1
239 957 8
240 958 30
240 959 12
240 960 47
240 961 82
241 962 75
241 963 23
241 964 97
241 965 33
242 966 75
242 967 30
242 968 82
242 969 41
243 970 32
243 971 87
243 972 1
243 973 6
244 974 80
244 975 48
244 976 56
244 977 75
245 978 25
245 979 40
245 980 51
245 981 72
246 982 79
246 983 67
246 984 15
246 985 89
247 986 59
247 987 80
247 988 70
247 989 42
248 990 53
248 991 58
248 992 41
248 993 12
249 994 10
249 995 71
249 996 74
249 997 84
250 998 49
250 999 21
250 1000 79
250 1001 94
251 1002 6
251 1003 23
251 1004 94
251 1005 28
252 1006 70
252 1007 98
252 1008 81
252 1009 23
253 1010 28
253 1011 98
253 1012 8
253 1013 90
254 1014 32
254 1015 55
254 1016 65
254 1017 64
255 1018 79
255 1019 58
255 1020 36
255 1021 64
256 1022 30
256 1023 30
256 1024 39
256 1025 3
257 1026 94
257 1027 85
257 1028 39
257 1029 93
258 1030 49
258 1031 75
258 1032 9
258 1033 62
259 1034 31
259 1035 33
259 1036 20
259 1037 20
260 1038 18
260 1039 36
260 1040 55
260 1041 46
261 1042 68
261 1043 95
261 1044 1
261 1045 8
262 1046 72
262 1047 58
262 1048 88
262 1049 45
263 1050 43
263 1051 92
263 1052 4
263 1053 60
264 1054 14
