vertex_name,position_x,position_y
1,-0.00377,0.176
2,0.02468,-0.5334
3,0.2536,0.5573
4,0.159,0.09905
5,-0.4002,0.5573
6,-0.1934,-0.777
7,-0.02338,-0.4993
8,0.2347,0.007988
9,0.5855,-0.223
10,0.2608,-0.1096
11,-0.7082,-0.4361
12,-0.4246,0.1907
13,0.1354,-0.1013
14,-0.1079,-0.137
15,0.5441,-0.154
16,0.04169,0.1081
17,-0.9059,-0.1142
18,-0.4219,-0.3914
19,-0.1389,-0.6863
20,0.5598,-0.2379
21,0.006336,0.1107
22,-0.1022,0.2828
23,-0.5183,0.5189
24,0.203,0.3475
25,-0.2739,-0.1126
26,-0.09228,-0.2798
27,-0.03739,-0.1796
28,-0.348,-0.01864
29,-0.05105,-0.1267
30,0.3791,0.7175
31,-0.6668,0.3358
32,0.06014,0.09282
33,-0.3872,-0.1434
34,0.3407,-0.1721
35,0.2678,-0.1845
36,0.5669,-0.2303
37,0.04327,0.009663
38,-0.1733,0.6187
39,0.1582,-0.4148
40,-0.1734,-0.3354
41,0.4112,-0.5284
42,0.284,-0.5353
43,-0.2361,-0.01403
44,-0.7748,0.7642
45,-0.7137,-0.3469
46,0.247,0.04452
47,0.3456,-0.03318
48,-0.4728,-0.1288
49,0.9667,0.4623
50,-0.08959,-0.3414
51,-0.1411,-0.247
52,0.6842,-0.1413
53,-0.2147,0.4702
54,-0.3189,-0.002948
55,0.06768,-0.9585
56,0.1378,0.6871
57,-0.2391,-0.5043
58,-0.2939,-0.2488
59,-0.4553,-0.3658
60,0.1556,-0.2696
61,-0.3049,0.1418
62,-0.02758,-0.1401
63,0.1013,0.1147
64,0.2064,-0.8388
65,0.3005,0.04991
66,-0.1058,0.03203
67,0.2282,0.1058
68,0.3415,-0.5392
69,-0.004312,-0.4332
70,-0.4402,-0.5468
71,-0.03218,0.3376
72,0.3195,-0.8723
73,0.03703,-0.1474
74,0.1207,0.2924
75,0.2302,0.3043
76,0.09092,-0.1468
77,-0.02539,-0.02938
78,0.1648,-0.08241
79,0.0002159,-0.2172
80,0.03331,0.6123
81,0.04525,0.5607
82,0.0875,-0.208
83,-0.468,-0.4151
84,0.1251,0.3623
85,-0.1424,-0.53
86,-0.1188,-0.4531
87,0.08351,0.064
88,-0.2856,-0.4241
89,0.2499,0.09283
90,-0.2738,0.05641
91,0.02824,0.3189
92,-0.3085,0.1473
93,0.1706,0.5959
94,-0.4222,0.3292
95,-0.3368,-0.2671
96,-0.115,0.009918
97,-0.02555,0.3359
98,-0.5019,0.2882
99,0.248,-0.1728
100,-0.4925,0.1042
101,-0.0292,-0.527
102,0.4043,-0.0329
103,-0.1237,-0.3639
104,0.3452,0.3936
105,0.9148,0.2954
106,0.05998,0.07304
107,0.1489,0.5148
108,-0.1023,-0.09389
109,-0.7168,0.1574
110,0.3062,0.124
111,0.2543,0.1569
112,1.038,0.5334
113,0.2487,-0.2081
114,-0.4911,-0.3227
115,-0.2779,-0.129
116,0.05491,0.6835
117,0.2819,0.7563
118,0.1082,-0.4833
119,-0.2253,-0.5451
120,0.4038,0.4669
121,0.2581,0.474
122,-0.602,0.3094
123,-0.3156,0.4147
124,-1.616,0.5369
125,-0.5468,0.3357
126,-0.05336,0.05332
127,-0.1408,-0.7274
128,0.165,-0.9474
129,0.06219,0.2137
130,-0.1141,-0.3779
131,0.2719,0.02362
132,-0.2511,-0.08043
133,-0.9807,0.11
134,0.03557,-0.03666
135,0.5429,0.2449
136,0.1657,-0.1893
137,0.1609,0.07688
138,-0.3619,-0.2824
139,0.07382,0.1619
140,0.3206,-0.4558
141,0.08198,0.5083
142,0.9134,-0.56
143,-0.03248,-0.3522
144,-0.1764,0.3731
145,0.0785,0.2094
146,-0.3719,0.3703
147,-0.6151,0.1017
148,-0.367,-0.2653
149,0.3279,-0.07183
150,-0.2661,0.5009
151,0.1282,0.03965
152,-0.1496,0.5528
153,-0.7281,-0.2972
154,-0.2257,-0.02117
155,-0.1142,0.4185
156,-0.2976,0.06767
157,-0.4257,0.08216
158,-0.7446,0.1847
159,0.2675,-0.05398
160,0.0648,-0.5357
161,-0.1965,-0.5919
162,0.0932,0.05283
163,-0.6632,0.6451
164,0.4417,-0.2712
165,-0.4787,0.2584
166,0.5644,0.4416
167,-0.1202,-0.149
168,-0.04819,0.01474
169,-0.001967,0.4846
170,-0.3369,-0.608
171,0.3123,-0.6371
172,0.09724,-0.4515
173,0.1915,-0.4767
174,0.3642,-0.3509
175,0.3412,-0.573
176,-0.5196,-0.6651
177,-0.3949,0.01021
178,0.5113,0.524
179,0.3676,0.5506
180,-0.7454,0.113
181,0.07012,-0.002336
182,0.7914,0.1093
183,0.05526,0.7953
184,0.6985,-0.4781
185,-0.2278,-0.4476
186,-0.3406,0.9567
187,-0.5382,-0.2372
188,-0.05367,-0.07318
189,0.3988,0.4402
190,-0.4756,0.1981
191,0.2484,-0.5356
192,-0.4019,-0.5474
193,0.3036,-0.4426
194,0.9243,-0.3736
195,0.2238,0.3844
196,-0.1062,-0.1724
197,0.5055,0.054
198,0.01207,-0.1727
199,-0.1914,0.05507
200,-0.1183,-0.2583
201,0.1333,0.03965
202,0.01953,-0.3306
203,-0.2527,0.2199
204,0.04918,0.0222
205,-0.8039,0.1746
206,-0.246,0.1216
207,0.4587,0.1064
208,-0.512,0.2366
209,-0.2658,-0.3846
210,0.2292,0.212
211,0.1256,0.1396
212,0.23,0.6027
213,-0.4925,0.04589
214,-0.2993,0.14
215,-0.2661,0.392
216,-0.7879,0.3864
217,-0.6392,0.1984
218,-0.1384,0.5361
219,-0.3186,-0.3121
220,-0.06678,-0.9374
221,-0.2595,0.3052
222,0.4048,-0.4363
223,-0.333,-0.5687
224,0.3546,0.1811
225,-0.02351,0.342
226,0.3861,-0.6977
227,0.1034,-0.4655
228,-0.2648,-0.07008
229,-0.2172,-0.4198
230,0.2729,0.1182
231,0.3138,-0.05214
232,-0.2385,0.0009089
233,-0.3892,0.1528
234,-0.05485,-0.3573
235,-0.6203,-0.3166
236,0.8184,-0.2937
237,0.8373,-0.06484
238,0.1961,0.2556
239,-0.6055,0.004979
240,-0.291,-0.4398
241,0.4682,-0.5577
242,-0.9868,-0.1134
243,-0.1675,-0.2339
244,0.6635,-0.06567
245,-0.118,-0.5357
246,0.4057,-0.2692
247,0.1197,0.03468
248,-0.3455,0.3788
249,0.3217,0.4095
250,-0.06423,-0.251
251,0.469,0.01863
252,0.4192,-0.4407
253,-0.6067,-0.299
254,0.1423,0.3308
255,-0.224,-0.3458
256,0.08456,-0.4514
257,-0.1327,-0.03228
258,-0.6037,0.2675
259,0.2649,-0.5724
260,0.09871,0.2412
261,-0.5366,0.197
262,0.0947,0.618
263,-0.08589,0.9545
264,0.1282,0.7108
265,0.07419,0.2058
266,-0.2796,0.54
267,-1.1,1.307
268,-0.2693,0.3358
269,-0.915,-0.1493
270,0.3789,-0.1173
271,-0.181,-0.3954
272,-0.8471,0.01824
273,0.1856,-0.004637
274,0.3382,0.1482
275,0.6565,0.4677
276,0.176,-0.2417
277,-0.06905,-0.2708
278,0.3367,0.1252
279,0.1105,-0.01951
280,0.4115,0.3776
281,-0.6481,0.4925
282,0.2326,-0.446
283,0.4526,-0.1178
284,-0.09159,-0.9661
285,0.2839,0.1777
286,-0.3754,-0.485
287,0.3551,0.3516
288,0.6619,0.2893
289,0.01069,-0.08328
290,0.4338,0.3019
291,0.5371,0.03299
292,-0.2831,0.6146
293,0.005399,0.111
294,-0.4278,0.4723
295,0.3287,-0.4588
296,-0.5624,-0.2408
297,0.2331,-0.1765
298,0.08317,0.2004
299,0.2182,-0.625
300,-0.1983,0.3478
301,0.1459,-0.1299
302,-0.2154,0.4253
303,0.3223,-0.3544
304,-0.5046,-0.4248
305,-0.651,-0.04434
306,0.2321,-0.03642
307,-0.2457,0.6065
308,-0.03321,0.06205
309,-0.2389,0.3315
310,-0.3108,-0.7775
311,0.3002,0.1724
312,0.2622,-0.5107
313,0.05721,-0.1347
314,-1.145,-0.01105
315,-0.6622,-0.3912
316,0.1271,-0.4486
317,0.1247,-0.1566
318,0.0754,-0.3868
319,-0.3997,-0.1423
320,0.7633,0.6086
321,0.08887,-0.1056
322,-0.5917,-0.2053
323,-0.06465,0.2853
324,0.2909,1.243
325,0.3893,0.05809
326,-0.05768,-0.1436
327,0.5313,0.5629
328,0.3336,-0.007106
329,0.3232,-0.1044
330,0.1789,-0.1712
331,0.4584,-0.4806
332,0.5003,0.04295
333,-0.1044,-0.3711
334,0.6991,0.5796
335,-0.1835,-0.05784
336,0.3184,-0.2099
337,-0.2812,0.2594
338,0.1513,-0.04622
339,0.4864,-0.5262
340,0.285,0.7103
341,-0.2597,-0.3888
342,-0.2299,-0.1631
343,0.1774,0.1821
344,-0.6047,-0.3055
345,-0.5034,-0.5723
346,-0.2536,0.787
347,0.266,0.5318
348,0.6305,-0.4104
349,0.3853,-0.2481
350,-0.1266,-0.0713
351,-0.09597,0.1058
352,-0.3839,0.04784
353,0.1026,-0.06818
354,0.09918,-0.2352
355,0.2314,0.1439
356,0.1767,0.1912
357,0.3999,-0.2001
358,-0.03771,0.4662
359,0.004856,0.451
360,0.08984,-0.009013
361,-1.168,-0.732
362,-0.4407,0.463
363,0.3302,0.3696
364,0.1883,-0.06126
365,0.1302,0.116
366,-0.2552,-0.02806
367,-0.2129,0.6686
368,0.6172,0.3764
369,-0.02045,-0.5452
370,-0.44,0.4711
371,0.000227,-0.2689
372,0.3173,-0.05994
373,-0.288,0.1425
374,-0.1516,0.01961
375,0.3854,0.3265
376,-0.004196,-0.5016
377,0.2554,0.2731
378,-0.03798,-0.231
379,0.2577,-0.1308
380,-0.4412,-0.3847
381,0.05858,0.3638
382,-0.3293,0.2225
383,0.226,-0.2165
384,0.4049,0.07997
385,-0.3874,0.6546
386,-0.8208,0.2183
387,-0.4611,0.5961
388,-0.1785,0.1644
389,-0.1128,-0.4997
390,-0.1681,0.6296
391,-0.5296,-0.3297
392,0.2804,-0.08382
393,-0.4099,0.6919
394,-0.3844,-0.1028
395,-0.758,0.2399
396,0.1751,-0.08853
397,-0.8484,0.2417
398,-0.03618,-0.2195
399,-0.02576,-0.3248
400,0.3621,-0.1384
401,0.3335,0.4853
402,0.1189,0.5425
403,0.4809,-0.2293
404,0.5471,-0.2777
405,0.04269,-0.4407
406,0.2381,-0.08813
407,-0.02818,-0.4782
408,0.1667,0.1897
409,-0.2289,0.3952
410,0.5695,-0.217
411,0.456,-0.2437
412,-0.2504,0.1907
413,0.2814,0.0611
414,0.1054,0.8037
415,0.08589,0.1019
416,0.2367,-0.3601
417,-0.2263,-0.5358
418,-0.0699,0.03623
419,-0.02398,0.1891
420,-0.1032,0.002438
421,0.1327,0.02559
422,-0.2196,-0.1756
423,0.4401,-0.352
424,-0.112,0.7272
425,-0.3795,1.167
426,0.07194,0.5365
427,0.4446,-0.25
428,0.1239,0.2962
429,-0.2187,0.4725
430,0.4325,0.3604
431,-0.2458,0.09492
432,0.5461,-0.217
433,-0.1108,-0.0548
434,-0.09031,-0.03538
435,-0.1952,0.7512
436,-0.3386,-0.6568
437,0.5346,0.3085
438,0.1982,-0.1193
439,-0.171,0.667
440,-0.1776,-0.1015
441,-0.0579,-0.01712
442,-0.4292,0.06605
443,0.2791,-0.4079
444,-0.1077,-0.3328
445,-0.3419,0.3819
446,0.6942,0.2133
447,0.6835,-0.02223
448,0.5188,-0.2435
449,0.4387,1.009
450,-0.1855,-0.0501
451,-0.4551,-0.5555
452,-0.4965,0.02915
453,0.01575,0.2951
454,0.18,-0.3311
455,0.6947,0.665
456,0.1374,0.4787
457,0.721,0.2574
458,0.3953,0.1945
459,-0.1023,0.06978
460,0.06587,0.3097
461,0.4511,0.1928
462,0.163,-0.6615
463,0.5672,-0.2543
464,-0.3292,0.4534
465,-0.5374,0.714
466,0.4341,-0.1676
467,0.3349,0.1408
468,0.6295,0.723
469,0.3159,-0.24
470,-0.3801,-0.3835
471,-0.06624,-0.4897
472,-1.09,0.1341
473,0.2667,0.4638
474,-0.03568,-1.26
475,-0.2054,-0.1656
476,0.4984,0.07036
477,0.1106,-0.1746
478,0.4139,0.3488
479,0.2137,-0.0721
480,-0.4445,-0.2477
481,-0.1066,0.2809
482,0.4768,0.3229
483,-0.226,0.4776
484,-0.04685,0.3966
485,0.1286,-0.334
486,0.5463,-0.28
487,0.1857,0.4536
488,0.3512,0.06573
489,-0.1448,0.02142
490,-0.06099,0.07999
491,0.7389,0.1845
492,-0.5259,0.1287
493,-0.2633,0.08001
494,-0.3055,0.4371
495,0.2709,-0.03699
496,0.025,0.3481
497,-0.1969,0.1996
498,-0.4472,0.5829
499,-0.2283,0.5832
500,-0.4182,-0.148
501,-0.5103,0.2584
502,-0.6982,-0.3707
503,-0.2511,0.1314
504,-0.0168,0.03709
505,-0.1405,-0.1042
506,0.3354,0.2886
507,0.1011,0.8848
508,0.6712,-0.3926
509,-0.4322,-0.03112
510,0.2636,0.1997
511,-0.6117,0.7
512,0.3385,0.1313
513,-0.0671,0.3549
514,0.3761,-0.07255
515,0.0182,0.6128
516,-0.3404,0.3374
517,0.02027,0.6254
518,-0.1125,-0.1579
519,0.5596,0.3475
520,0.4674,-0.06576
521,0.001824,-0.5881
522,0.1194,0.0717
523,-0.2001,0.5944
524,0.2346,0.1792
525,-0.3791,0.7723
526,-0.536,0.2453
527,-0.1022,0.4391
528,0.05359,-0.3501
529,0.01465,0.1588
530,0.7601,0.5784
531,0.4849,0.3103
532,0.326,-0.5831
533,0.1989,0.2205
534,0.4978,0.3719
535,0.197,0.2626
536,-0.5583,0.1873
537,-0.1286,0.1042
538,-0.6131,0.004241
539,0.8175,-0.1677
540,0.7619,-0.25
541,-0.1245,0.3009
542,0.1433,0.03962
543,0.552,-0.2405
544,0.1228,-0.2314
545,-0.1522,0.248
546,-0.4659,-0.3404
547,-0.03019,-0.8873
548,-0.05942,0.3948
549,0.5713,0.4651
550,-0.1228,0.1906
551,-0.7482,0.2026
552,-0.3934,0.1873
553,-0.3947,-0.1592
554,-0.01941,0.5911
555,0.4023,-0.07872
556,0.3166,-0.1704
557,0.1944,-0.1385
558,0.1307,-0.2236
559,0.1858,-0.1546
560,-0.09302,-0.1931
561,0.3059,-0.1762
562,-0.3472,0.4816
563,0.08198,0.5083
564,-0.07044,-0.3279
565,0.139,-0.1732
566,-0.2561,0.6852
567,-0.2611,-0.5967
568,-0.06174,0.1448
569,-0.3425,0.02489
570,0.2079,0.1053
571,-0.5902,0.1822
572,0.01112,-0.02724
573,-0.1013,0.4248
574,-0.2068,0.4662
575,0.2971,0.009289
576,-0.2638,0.4145
577,0.07872,-0.3312
578,0.7072,0.1672
579,0.2468,0.2656
580,0.1046,-0.1253
581,0.3168,0.08843
582,0.2794,0.2293
583,-0.231,-0.2167
584,-0.1853,0.6108
585,0.2219,-0.3411
586,-0.1165,0.1749
587,-0.2973,-0.2043
588,-0.6125,-0.3291
589,-0.2731,-0.2416
590,-0.2025,-0.2272
591,-0.06543,0.02321
592,0.6981,-0.4903
593,0.3877,-0.4809
594,0.2714,-0.6164
595,0.3686,-0.5853
596,0.2251,-0.2537
597,0.005941,-0.2643
598,0.2073,-0.1689
599,0.2746,0.1787
600,0.3961,0.05584
601,-0.283,0.2085
602,0.2404,-0.3499
603,0.2084,0.1295
604,0.1138,0.6205
605,0.6772,0.1728
606,0.7369,-0.294
607,0.001006,-0.1935
608,-0.2353,-0.2091
609,-0.4117,-0.234
610,-0.4115,0.01722
611,0.09586,0.2826
612,-0.03928,0.6085
613,0.05998,-0.2852
614,-0.08279,0.5674
615,-0.2262,0.0371
616,0.3255,-0.1897
617,0.2263,-0.2361
618,-0.169,0.6833
619,-0.9731,0.1784
620,-0.227,-0.5529
621,-0.05291,0.4403
622,0.4724,0.8483
623,-0.1441,-0.5325
624,-0.09383,-0.6928
625,0.1786,0.5155
626,-0.6599,-0.08875
627,0.2527,-0.1544
628,0.09872,0.01487
629,-0.2765,0.9494
630,-0.02059,-0.05077
631,-0.3567,-0.5704
632,-0.3244,0.1045
633,0.08271,0.06887
634,0.1497,-0.01285
635,-0.8023,-0.2277
636,-0.3844,0.6507
637,-0.07143,0.03334
638,-0.8194,-0.3207
639,0.3158,0.1923
640,-0.134,-0.2773
641,0.1041,-0.4904
642,-0.02666,-0.7736
643,0.07438,-0.04377
644,0.05267,-0.7031
645,0.07565,-0.1912
